B,dos_at_mu,Band
1.0,-7.74422677897991e-12,0.0
1.0606060606060606,-8.775659993461203e-10,0.0
1.121212121212121,-4.007102454732901e-05,0.0
1.1818181818181819,-3.0002156713795588e-05,0.0
1.2424242424242424,-1.852334882730604e-12,0.0
1.303030303030303,-4.74724055356377e-14,0.0
1.3636363636363638,-3.2642018774806775e-10,0.0
1.4242424242424243,-5.3200835375047385e-06,0.0
1.4848484848484849,-0.03027163913191795,0.0
1.5454545454545454,-1.078450104834063,0.0
1.606060606060606,-0.00014693632623740042,0.0
1.6666666666666667,-3.647110644890267e-12,0.0
1.7272727272727273,-2.2797464927424914e-16,0.0
1.7878787878787878,-5.313346021813515e-16,0.0
1.8484848484848486,-7.4033444170451e-14,0.0
1.9090909090909092,-3.076139555401628e-11,0.0
1.9696969696969697,-1.5897325324531976e-08,0.0
2.0303030303030303,-7.476104845703662e-06,0.0
2.090909090909091,-0.0028648035058435922,0.0
2.1515151515151514,-0.7315086201509882,0.0
2.212121212121212,-61.8059088958848,0.0
2.2727272727272725,-384.98695228138484,0.0
2.3333333333333335,-26.01870093223147,0.0
2.393939393939394,-0.006234134310819047,0.0
2.4545454545454546,-1.637205324151886e-08,0.0
2.515151515151515,-2.2319944258457222e-14,0.0
2.5757575757575757,-1.503006921350527e-18,0.0
2.6363636363636367,-3.881051634768582e-20,0.0
2.6969696969696972,-1.3737353477212576e-19,0.0
2.757575757575758,-8.053128534738866e-18,0.0
2.8181818181818183,-1.5638177819111325e-15,0.0
2.878787878787879,-4.3108974109116523e-13,0.0
2.9393939393939394,-1.1356879927119156e-10,0.0
3.0,-2.2636430317829952e-08,0.0
3.0606060606060606,-2.7572376976619384e-06,0.0
3.121212121212121,-0.00016390033814360535,0.0
3.1818181818181817,-0.003883871929833407,0.0
3.2424242424242427,-0.032617870501934605,0.0
3.303030303030303,-0.09890953176553532,0.0
3.3636363636363638,-0.12766869565847197,0.0
3.4242424242424243,-0.09205091148447833,0.0
3.484848484848485,-0.05063783017997711,0.0
3.5454545454545454,-0.02829519698885189,0.0
3.606060606060606,-0.019964876190187858,0.0
3.666666666666667,-0.02033540741687326,0.0
3.7272727272727275,-0.0316156543213735,0.0
3.787878787878788,-0.07462845209709801,0.0
3.8484848484848486,-0.2552127882333787,0.0
3.909090909090909,-1.1770629619483577,0.0
3.9696969696969697,-6.725846381619963,0.0
4.03030303030303,-43.40854951969805,0.0
4.090909090909091,-286.49115462698745,0.0
4.151515151515151,-1734.8366082771824,0.0
4.212121212121213,-8548.781471195658,0.0
4.272727272727273,-30029.149108174475,0.0
4.333333333333334,-65174.09731676343,0.0
4.3939393939393945,-75284.90821913927,0.0
4.454545454545455,-39862.86968968813,0.0
4.515151515151516,-8387.858284730168,0.0
4.575757575757576,-616.6786046896664,0.0
4.636363636363637,-14.252580202900688,0.0
4.696969696969697,-0.09645427675635256,0.0
4.757575757575758,-0.00018711494729070012,0.0
4.818181818181818,-1.0894482838791848e-07,0.0
4.878787878787879,-2.1675350195930553e-11,0.0
4.9393939393939394,-1.8432071155283754e-15,0.0
5.0,-9.182169319596916e-20,0.0
5.0606060606060606,-3.944802513986239e-24,0.0
5.121212121212121,-2.2257032893808677e-28,0.0
5.181818181818182,-2.473624363457404e-32,0.0
5.242424242424242,-7.614686220604002e-36,0.0
5.303030303030303,-8.243431322288585e-39,0.0
5.363636363636363,-3.536147591794497e-41,0.0
5.424242424242425,-6.0379341987485905e-43,0.0
5.484848484848485,-3.756058353848091e-44,0.0
5.545454545454546,-7.319449535937871e-45,0.0
5.606060606060606,-3.723540473532995e-45,0.0
5.666666666666667,-4.0992597627743684e-45,0.0
5.7272727272727275,-8.201420612135278e-45,0.0
5.787878787878788,-2.5633439418463297e-44,0.0
5.848484848484849,-1.1057423684522435e-43,0.0
5.909090909090909,-5.975586541968562e-43,0.0
5.96969696969697,-3.7622881642653573e-42,0.0
6.03030303030303,-2.618913189582605e-41,0.0
6.090909090909091,-1.943642448476498e-40,0.0
6.151515151515151,-1.5013388691369626e-39,0.0
6.212121212121212,-1.1889112460881825e-38,0.0
6.2727272727272725,-9.568335246036795e-38,0.0
6.333333333333334,-7.791841923856746e-37,0.0
6.3939393939393945,-6.410647644788143e-36,0.0
6.454545454545455,-5.330037713677833e-35,0.0
6.515151515151516,-4.4840027606665626e-34,0.0
6.575757575757576,-3.823395670439853e-33,0.0
6.636363636363637,-3.310276231640391e-32,0.0
6.696969696969697,-2.9149780123334393e-31,0.0
6.757575757575758,-2.6143451446231214e-30,0.0
6.818181818181818,-2.3904846969605307e-29,0.0
6.878787878787879,-2.2297810675619297e-28,0.0
6.9393939393939394,-2.1220813103373303e-27,0.0
7.0,-2.0600161371772538e-26,0.0
1.0,-0.00010843114340932952,1.0
1.0606060606060606,-0.02153727953911365,1.0
1.121212121212121,-927.4997311386544,1.0
1.1818181818181819,-1712.624191385169,1.0
1.2424242424242424,-0.0013424918290019239,1.0
1.303030303030303,-0.00012822602168545313,1.0
1.3636363636363638,-0.8979809413886248,1.0
1.4242424242424243,-11813.928792380237,1.0
1.4848484848484849,-52987993.671334386,1.0
1.5454545454545454,-2605962681.2414184,1.0
1.606060606060606,-2713301.3835848784,1.0
1.6666666666666667,-1.6583593767720883,1.0
1.7272727272727273,-0.0009234387546253877,1.0
1.7878787878787878,-0.004971083168910789,1.0
1.8484848484848486,-0.8894357967849206,1.0
1.9090909090909092,-377.3310385426751,1.0
1.9696969696969697,-176218.87492059715,1.0
2.0303030303030303,-69103310.64525804,1.0
