B,E,N,Band
1.0,-1.8606047859159555e-21,0.0,0.0
1.0606060606060606,-1.8600216321172814e-21,0.0,0.0
1.121212121212121,-1.859438478318607e-21,0.0,0.0
1.1818181818181819,-1.8588553245199323e-21,0.0,0.0
1.2424242424242424,-1.8582721707212578e-21,0.0,0.0
1.303030303030303,-1.8576890169225833e-21,0.0,0.0
1.3636363636363638,-1.8571058631239087e-21,0.0,0.0
1.4242424242424243,-1.8565227093252342e-21,0.0,0.0
1.4848484848484849,-1.8559395555265597e-21,0.0,0.0
1.5454545454545454,-1.8553564017278855e-21,0.0,0.0
1.606060606060606,-1.854773247929211e-21,0.0,0.0
1.6666666666666667,-1.8541900941305365e-21,0.0,0.0
1.7272727272727273,-1.853606940331862e-21,0.0,0.0
1.7878787878787878,-1.8530237865331874e-21,0.0,0.0
1.8484848484848486,-1.852440632734513e-21,0.0,0.0
1.9090909090909092,-1.8518574789358384e-21,0.0,0.0
1.9696969696969697,-1.851274325137164e-21,0.0,0.0
2.0303030303030303,-1.8506911713384897e-21,0.0,0.0
2.090909090909091,-1.850108017539815e-21,0.0,0.0
2.1515151515151514,-1.8495248637411406e-21,0.0,0.0
2.212121212121212,-1.848941709942466e-21,0.0,0.0
2.2727272727272725,-1.8483585561437916e-21,0.0,0.0
2.3333333333333335,-1.847775402345117e-21,0.0,0.0
2.393939393939394,-1.8471922485464425e-21,0.0,0.0
2.4545454545454546,-1.846609094747768e-21,0.0,0.0
2.515151515151515,-1.846025940949094e-21,0.0,0.0
2.5757575757575757,-1.8454427871504193e-21,0.0,0.0
2.6363636363636367,-1.844859633351745e-21,0.0,0.0
2.6969696969696972,-1.8442764795530703e-21,0.0,0.0
2.757575757575758,-1.8436933257543958e-21,0.0,0.0
2.8181818181818183,-1.8431101719557212e-21,0.0,0.0
2.878787878787879,-1.8425270181570467e-21,0.0,0.0
2.9393939393939394,-1.841943864358372e-21,0.0,0.0
3.0,-1.8413607105596977e-21,0.0,0.0
3.0606060606060606,-1.8407775567610235e-21,0.0,0.0
3.121212121212121,-1.840194402962349e-21,0.0,0.0
3.1818181818181817,-1.8396112491636745e-21,0.0,0.0
3.2424242424242427,-1.839028095365e-21,0.0,0.0
3.303030303030303,-1.8384449415663254e-21,0.0,0.0
3.3636363636363638,-1.837861787767651e-21,0.0,0.0
3.4242424242424243,-1.8372786339689764e-21,0.0,0.0
3.484848484848485,-1.836695480170302e-21,0.0,0.0
3.5454545454545454,-1.8361123263716277e-21,0.0,0.0
3.606060606060606,-1.835529172572953e-21,0.0,0.0
3.666666666666667,-1.8349460187742786e-21,0.0,0.0
3.7272727272727275,-1.834362864975604e-21,0.0,0.0
3.787878787878788,-1.8337797111769296e-21,0.0,0.0
3.8484848484848486,-1.833196557378255e-21,0.0,0.0
3.909090909090909,-1.8326134035795805e-21,0.0,0.0
3.9696969696969697,-1.832030249780906e-21,0.0,0.0
4.03030303030303,-1.831447095982232e-21,0.0,0.0
4.090909090909091,-1.8308639421835573e-21,0.0,0.0
4.151515151515151,-1.8302807883848828e-21,0.0,0.0
4.212121212121213,-1.8296976345862083e-21,0.0,0.0
4.272727272727273,-1.8291144807875338e-21,0.0,0.0
4.333333333333334,-1.8285313269888592e-21,0.0,0.0
4.3939393939393945,-1.8279481731901847e-21,0.0,0.0
4.454545454545455,-1.82736501939151e-21,0.0,0.0
4.515151515151516,-1.826781865592836e-21,0.0,0.0
4.575757575757576,-1.8261987117941615e-21,0.0,0.0
4.636363636363637,-1.825615557995487e-21,0.0,0.0
4.696969696969697,-1.8250324041968124e-21,0.0,0.0
4.757575757575758,-1.824449250398138e-21,0.0,0.0
4.818181818181818,-1.8238660965994634e-21,0.0,0.0
4.878787878787879,-1.823282942800789e-21,0.0,0.0
4.9393939393939394,-1.8226997890021143e-21,0.0,0.0
5.0,-1.82211663520344e-21,0.0,0.0
5.0606060606060606,-1.8215334814047657e-21,0.0,0.0
5.121212121212121,-1.820950327606091e-21,0.0,0.0
5.181818181818182,-1.8203671738074166e-21,0.0,0.0
5.242424242424242,-1.819784020008742e-21,0.0,0.0
5.303030303030303,-1.8192008662100676e-21,0.0,0.0
5.363636363636363,-1.818617712411393e-21,0.0,0.0
5.424242424242425,-1.8180345586127185e-21,0.0,0.0
5.484848484848485,-1.817451404814044e-21,0.0,0.0
5.545454545454546,-1.81686825101537e-21,0.0,0.0
5.606060606060606,-1.8162850972166953e-21,0.0,0.0
5.666666666666667,-1.8157019434180208e-21,0.0,0.0
5.7272727272727275,-1.8151187896193463e-21,0.0,0.0
5.787878787878788,-1.8145356358206717e-21,0.0,0.0
5.848484848484849,-1.8139524820219972e-21,0.0,0.0
5.909090909090909,-1.8133693282233227e-21,0.0,0.0
5.96969696969697,-1.812786174424648e-21,0.0,0.0
6.03030303030303,-1.812203020625974e-21,0.0,0.0
6.090909090909091,-1.8116198668272995e-21,0.0,0.0
6.151515151515151,-1.811036713028625e-21,0.0,0.0
6.212121212121212,-1.8104535592299504e-21,0.0,0.0
6.2727272727272725,-1.809870405431276e-21,0.0,0.0
6.333333333333334,-1.8092872516326014e-21,0.0,0.0
6.3939393939393945,-1.808704097833927e-21,0.0,0.0
6.454545454545455,-1.8081209440352523e-21,0.0,0.0
6.515151515151516,-1.8075377902365778e-21,0.0,0.0
6.575757575757576,-1.8069546364379037e-21,0.0,0.0
6.636363636363637,-1.806371482639229e-21,0.0,0.0
6.696969696969697,-1.8057883288405546e-21,0.0,0.0
6.757575757575758,-1.80520517504188e-21,0.0,0.0
6.818181818181818,-1.8046220212432056e-21,0.0,0.0
6.878787878787879,-1.804038867444531e-21,0.0,0.0
6.9393939393939394,-1.8034557136458565e-21,0.0,0.0
7.0,-1.802872559847182e-21,0.0,0.0
1.0,1.0401356475632076e-21,1.0,0.0
1.0606060606060606,1.1271487266149744e-21,1.0,0.0
1.121212121212121,1.2117158013037086e-21,1.0,0.0
1.1818181818181819,1.2940327353683727e-21,1.0,0.0
1.2424242424242424,1.3742705698089275e-21,1.0,0.0
1.303030303030303,1.4525797158682067e-21,1.0,0.0
1.3636363636363638,1.5290932790822698e-21,1.0,0.0
1.4242424242424243,1.6039297248496219e-21,1.0,0.0
1.4848484848484849,1.6771950382604216e-21,1.0,0.0
1.5454545454545454,1.7489844907415133e-21,1.0,0.0
1.606060606060606,1.819384097614491e-21,1.0,0.0
1.6666666666666667,1.8884718301984062e-21,1.0,0.0
1.7272727272727273,1.9563186311632956e-21,1.0,0.0
1.7878787878787878,2.0229892708146777e-21,1.0,0.0
1.8484848484848486,2.0885430737466494e-21,1.0,0.0
1.9090909090909092,2.1530345390717162e-21,1.0,0.0
1.9696969696969697,2.2165138726792017e-21,1.0,0.0
2.0303030303030303,2.279027446308372e-21,1.0,0.0
2.090909090909091,2.340618195372064e-21,1.0,0.0
2.1515151515151514,2.401325965232077e-21,1.0,0.0
2.212121212121212,2.461187813862355e-21,1.0,0.0
2.2727272727272725,2.5202382774311697e-21,1.0,0.0
2.3333333333333335,2.5785096042082114e-21,1.0,0.0
2.393939393939394,2.636031961295011e-21,1.0,0.0
2.4545454545454546,2.692833617941083e-21,1.0,0.0
2.515151515151515,2.748941108607656e-21,1.0,0.0
2.5757575757575757,2.8043793784483275e-21,1.0,0.0
2.6363636363636367,2.8591719134698416e-21,1.0,0.0
