,density,is_cond,is_dirac,gfactor,vf,dparam,meff,spin,active,Ebb
0,2000000000000000,True,True,1.8,850000.0,8.331318427999999e-40,,,True,-1.4231624009999997e-20
1,5000000000000000,True,True,1.8,850000.0,8.331318427999999e-40,,,True,-2.2521413269999997e-20
2,5000000000000000,False,False,6.0,,,0.2,1.0,True,1.9431295290000002e-22
3,8000000000000000,False,False,6.0,,,0.2,-1.0,True,3.1090072470000004e-22
