,density,is_cond,is_dirac,gfactor,vf,dparam,meff,spin,active,Ebb
0,100000000000000,True,True,1.8,500000.0,8.331318427999999e-40,,,True,-1.870226824e-21
1,1000000000000000,True,True,1.8,500000.0,8.331318427999999e-40,,,True,-5.921335218e-21
2,1550000000000000,False,False,6.0,,,0.2,1.0,True,6.023701541e-23
3,1550000000000000,False,False,6.0,,,0.2,-1.0,True,6.023701541e-23
