B,dos_at_mu,Band
1.0,-2.0138813198703333e+35,0.0
1.0606060606060606,-2.5990549208218466e+35,0.0
1.121212121212121,-1.7426843293568442e+35,0.0
1.1818181818181819,-1.5165408642785044e+35,0.0
1.2424242424242424,-2.1387736419054725e+35,0.0
1.303030303030303,-2.527510694356436e+35,0.0
1.3636363636363638,-2.9103089616746694e+35,0.0
1.4242424242424243,-2.930807005706075e+35,0.0
1.4848484848484849,-1.9764840174564622e+35,0.0
1.5454545454545454,-1.3038369154377604e+35,0.0
1.606060606060606,-1.4211070707478118e+35,0.0
1.6666666666666667,-1.989596869175052e+35,0.0
1.7272727272727273,-2.8047022840370113e+35,0.0
1.7878787878787878,-3.684730749497791e+35,0.0
1.8484848484848486,-4.240551657469958e+35,0.0
1.9090909090909092,-4.269226493755235e+35,0.0
1.9696969696969697,-4.092981678168566e+35,0.0
2.0303030303030303,-3.957038327495049e+35,0.0
2.090909090909091,-3.7124642746661066e+35,0.0
2.1515151515151514,-3.1020634210923356e+35,0.0
2.212121212121212,-2.1936957274822646e+35,0.0
2.2727272727272725,-1.3946368755911732e+35,0.0
2.3333333333333335,-9.589403360995833e+34,0.0
2.393939393939394,-8.337398340657235e+34,0.0
2.4545454545454546,-9.054053312660142e+34,0.0
2.515151515151515,-1.107665825772821e+35,0.0
2.5757575757575757,-1.4095972172151689e+35,0.0
2.6363636363636367,-1.800595546168435e+35,0.0
2.6969696969696972,-2.2821820026834886e+35,0.0
2.757575757575758,-2.8616074945753642e+35,0.0
2.8181818181818183,-3.547587997438051e+35,0.0
2.878787878787879,-4.34797863150654e+35,0.0
2.9393939393939394,-5.268416153731408e+35,0.0
3.0,-6.3111507329042786e+35,0.0
3.0606060606060606,-7.473435183863163e+35,0.0
3.121212121212121,-8.744599229560926e+35,0.0
3.1818181818181817,-1.0100656163050302e+36,0.0
3.2424242424242427,-1.1495935576971526e+36,0.0
3.303030303030303,-1.2853964899170925e+36,0.0
3.3636363636363638,-1.4064100120506687e+36,0.0
3.4242424242424243,-1.4991771564327645e+36,0.0
3.484848484848485,-1.550356021147887e+36,0.0
3.5454545454545454,-1.5498738647677908e+36,0.0
3.606060606060606,-1.4939496534124364e+36,0.0
3.666666666666667,-1.3876355987750286e+36,0.0
