B,dos_at_mu,Band
1.0,-2.1115207587003493e-25,0.0
1.0606060606060606,-1.9921197791397178e-17,0.0
1.121212121212121,-6.173080002458714e-33,0.0
1.1818181818181819,-1.3854258942876328e-38,0.0
1.2424242424242424,-4.223444404595463e-25,0.0
1.303030303030303,-4.633935918960697e-19,0.0
1.3636363636363638,-2.571367196226093e-15,0.0
1.4242424242424243,-2.7261894767082007e-17,0.0
1.4848484848484849,-2.102820820251531e-34,0.0
1.5454545454545454,-2.3474425017909808e-51,0.0
1.606060606060606,-1.570839317703681e-47,0.0
1.6666666666666667,-1.0455750996221646e-33,0.0
1.7272727272727273,-1.8554197977091107e-20,0.0
1.7878787878787878,-1.2824173157278485e-10,0.0
1.8484848484848486,-1.1023528917699155e-05,0.0
1.9090909090909092,-2.265053057802706e-05,0.0
1.9696969696969697,-8.698907056431097e-07,0.0
2.0303030303030303,-4.790300134380673e-08,0.0
2.090909090909091,-9.041413475035068e-11,0.0
2.1515151515151514,-2.081459330852589e-18,0.0
2.212121212121212,-3.693750443807643e-33,0.0
2.2727272727272725,-1.0861396414607966e-52,0.0
2.3333333333333335,-2.5789799493707995e-69,0.0
2.393939393939394,-1.2837406496111285e-76,0.0
2.4545454545454546,-3.1374184723001447e-75,0.0
2.515151515151515,-3.127251253882811e-69,0.0
2.5757575757575757,-1.554629817584922e-61,0.0
2.6363636363636367,-2.9052741993080354e-53,0.0
2.6969696969696972,-1.1971883927563812e-44,0.0
2.757575757575758,-1.0909716253578827e-35,0.0
2.8181818181818183,-1.985964924028525e-26,0.0
2.878787878787879,-4.8219864233872036e-17,0.0
2.9393939393939394,-7.780289006170598e-08,0.0
3.0,-35.45403632798985,0.0
3.0606060606060606,-2020294459.8527598,0.0
3.121212121212121,-7988583763506940.0,0.0
3.1818181818181817,-1.6702395472153642e+21,0.0
3.2424242424242427,-1.8789322218588016e+25,0.0
3.303030303030303,-1.3884027477695654e+28,0.0
3.3636363636363638,-8.710186360009496e+29,0.0
3.4242424242424243,-5.657101111722067e+30,0.0
3.484848484848485,-3.919737980171703e+30,0.0
3.5454545454545454,-2.348813598383455e+29,0.0
3.606060606060606,-8.328517853811135e+26,0.0
3.666666666666667,-1.3136099481748887e+23,0.0
3.7272727272727275,-1.0338782282145833e+18,0.0
3.787878787878788,-750421070260.4349,0.0
3.8484848484848486,-126615.00403249677,0.0
3.909090909090909,-0.012349889285921609,0.0
3.9696969696969697,-1.3190231321479535e-09,0.0
4.03030303030303,-2.0044355635822598e-16,0.0
4.090909090909091,-3.9667129268468026e-23,0.0
4.151515151515151,-7.240814494300837e-30,0.0
4.212121212121213,-7.4633929909312104e-37,0.0
4.272727272727273,-2.5467346954275903e-44,0.0
4.333333333333334,-1.7706240247251163e-52,0.0
4.3939393939393945,-1.769954709711044e-61,0.0
4.454545454545455,-2.2564027346743266e-71,0.0
4.515151515151516,-4.4925324818819536e-82,0.0
4.575757575757576,-2.5524845457554964e-93,0.0
4.636363636363637,-1.1573226658575848e-104,0.0
4.696969696969697,-1.6721013070260864e-115,0.0
4.757575757575758,-3.6355717914256446e-125,0.0
4.818181818181818,-5.0117479767169495e-133,0.0
4.878787878787879,-1.2282134199760412e-138,0.0
4.9393939393939394,-8.196903666773564e-142,0.0
5.0,-1.2089120638225425e-142,0.0
5.0606060606060606,-1.9282206293987607e-141,0.0
5.121212121212121,-1.222040998100506e-138,0.0
5.181818181818182,-1.0584870100764417e-134,0.0
5.242424242424242,-4.746172674454949e-130,0.0
5.303030303030303,-5.00800704360579e-125,0.0
5.363636363636363,-6.933504392305265e-120,0.0
5.424242424242425,-8.457424695843156e-115,0.0
5.484848484848485,-7.08727740202896e-110,0.0
5.545454545454546,-3.551672906658298e-105,0.0
5.606060606060606,-9.990542099765727e-101,0.0
5.666666666666667,-1.5537677324303705e-96,0.0
5.7272727272727275,-1.3542425070834084e-92,0.0
5.787878787878788,-6.808480321446135e-89,0.0
5.848484848484849,-2.0461269425292833e-85,0.0
5.909090909090909,-3.815472711634443e-82,0.0
5.96969696969697,-4.0588831349561424e-79,0.0
6.03030303030303,-2.6816402571180596e-76,0.0
6.090909090909091,-1.274522030164245e-73,0.0
6.151515151515151,-4.423539626996779e-71,0.0
6.212121212121212,-1.1377404743022897e-68,0.0
6.2727272727272725,-2.199383911161243e-66,0.0
6.333333333333334,-3.2388581867908316e-64,0.0
6.3939393939393945,-3.680128542957236e-62,0.0
6.454545454545455,-3.265574540831361e-60,0.0
6.515151515151516,-2.2889354421698994e-58,0.0
6.575757575757576,-1.2810182076060025e-56,0.0
6.636363636363637,-5.782668195975601e-55,0.0
6.696969696969697,-2.125707480708986e-53,0.0
6.757575757575758,-6.420875651380394e-52,0.0
6.818181818181818,-1.6072747572168716e-50,0.0
6.878787878787879,-3.3610143003836133e-49,0.0
6.9393939393939394,-5.915842091000907e-48,0.0
7.0,-8.82723340583363e-47,0.0
1.0,-0.01267782891717556,1.0
1.0606060606060606,-306658.8339496579,1.0
1.121212121212121,-4.78110160180128e-06,1.0
1.1818181818181819,-3.77873546583606e-09,1.0
1.2424242424242424,-1208.6297952141974,1.0
1.303030303030303,-387875420.18911594,1.0
1.3636363636363638,-1743907695634.678,1.0
1.4242424242424243,-737458837037.9307,1.0
1.4848484848484849,-9.391976804839643,1.0
1.5454545454545454,-9.40243098119968e-11,1.0
1.606060606060606,-1.1607336610143057e-06,1.0
1.6666666666666667,-80991.47487836113,1.0
1.7272727272727273,-399446035578891.9,1.0
1.7878787878787878,-2.5339801150837233e+21,1.0
1.8484848484848486,-7.838490790379001e+24,1.0
1.9090909090909092,-5.484655288167289e+25,1.0
1.9696969696969697,-4.732066654761576e+25,1.0
2.0303030303030303,-5.03517699560968e+25,1.0
2.090909090909091,-1.0035619371301606e+25,1.0
2.1515151515151514,-5.961730703008833e+21,1.0
2.212121212121212,-320974853045479.06,1.0
2.2727272727272725,-9882.30255771094,1.0
2.3333333333333335,-7.403798929935867e-06,1.0
2.393939393939394,-3.5214074648078037e-09,1.0
2.4545454545454546,-5.430521919896337e-07,1.0
2.515151515151515,-0.04754851004473684,1.0
2.5757575757575757,-25318.530475934414,1.0
2.6363636363636367,-14015513258.319202,1.0
2.6969696969696972,-5057895265050955.0,1.0
2.757575757575758,-9.896776499443114e+20,1.0
2.8181818181818183,-7.849577106179289e+25,1.0
