B,dos_at_mu,Band
1.0,-67383731894880.75,0.0
1.0606060606060606,-0.0,0.0
1.121212121212121,-0.0,0.0
1.1818181818181819,-7.249810734917719e-93,0.0
1.2424242424242424,-2.9286626927423867e-30,0.0
1.303030303030303,-1.8694383689328282e-27,0.0
1.3636363636363638,-1.395548817727189e-237,0.0
1.4242424242424243,-0.0,0.0
1.4848484848484849,-0.0,0.0
1.5454545454545454,-0.0,0.0
1.606060606060606,-0.0,0.0
1.6666666666666667,-0.0,0.0
1.7272727272727273,-4.0792902263476904e-260,0.0
1.7878787878787878,-6.330175646753399e-164,0.0
1.8484848484848486,-1.241375382749487e-122,0.0
1.9090909090909092,-5.986546396837198e-162,0.0
1.9696969696969697,-1.522784375665894e-143,0.0
2.0303030303030303,-0.0,0.0
2.090909090909091,-0.0,0.0
2.1515151515151514,-0.0,0.0
2.212121212121212,-0.0,0.0
2.2727272727272725,-0.0,0.0
2.3333333333333335,-0.0,0.0
2.393939393939394,-0.0,0.0
2.4545454545454546,-0.0,0.0
2.515151515151515,-0.0,0.0
2.5757575757575757,-0.0,0.0
2.6363636363636367,-0.0,0.0
2.6969696969696972,-0.0,0.0
2.757575757575758,-2.752109584608593e-258,0.0
2.8181818181818183,-1.2301628954364784e-240,0.0
2.878787878787879,-3.5413576042450175e-226,0.0
2.9393939393939394,-2.1839427133901173e-214,0.0
3.0,-5.614437892668508e-205,0.0
3.0606060606060606,-1.0046387297628038e-197,0.0
3.121212121212121,-1.7332118490900097e-192,0.0
3.1818181818181817,-1.0416654503279232e-185,0.0
3.2424242424242427,-3.4682429356331454e-87,0.0
3.303030303030303,-1.0379929771237226e-46,0.0
3.3636363636363638,-3.098005541021855e-111,0.0
3.4242424242424243,-2.2777371717960264e-91,0.0
3.484848484848485,-1.1119362859116769e-59,0.0
3.5454545454545454,-2.1037412697392971e-22,0.0
3.606060606060606,-27728644636029.395,0.0
3.666666666666667,-4.4992177572357015e+35,0.0
3.7272727272727275,-3.044609678943322e+33,0.0
3.787878787878788,-0.0008840154190827016,0.0
3.8484848484848486,-9.030930170580398e-82,0.0
3.909090909090909,-0.0,0.0
3.9696969696969697,-0.0,0.0
4.03030303030303,-0.0,0.0
4.090909090909091,-0.0,0.0
4.151515151515151,-0.0,0.0
4.212121212121213,-0.0,0.0
4.272727272727273,-0.0,0.0
4.333333333333334,-0.0,0.0
4.3939393939393945,-0.0,0.0
4.454545454545455,-0.0,0.0
4.515151515151516,-0.0,0.0
4.575757575757576,-0.0,0.0
4.636363636363637,-0.0,0.0
4.696969696969697,-0.0,0.0
4.757575757575758,-0.0,0.0
4.818181818181818,-0.0,0.0
4.878787878787879,-0.0,0.0
4.9393939393939394,-0.0,0.0
5.0,-0.0,0.0
5.0606060606060606,-0.0,0.0
5.121212121212121,-0.0,0.0
5.181818181818182,-0.0,0.0
5.242424242424242,-0.0,0.0
5.303030303030303,-0.0,0.0
5.363636363636363,-0.0,0.0
5.424242424242425,-0.0,0.0
5.484848484848485,-0.0,0.0
5.545454545454546,-0.0,0.0
5.606060606060606,-0.0,0.0
5.666666666666667,-0.0,0.0
5.7272727272727275,-0.0,0.0
5.787878787878788,-0.0,0.0
5.848484848484849,-0.0,0.0
5.909090909090909,-0.0,0.0
5.96969696969697,-0.0,0.0
6.03030303030303,-0.0,0.0
6.090909090909091,-0.0,0.0
6.151515151515151,-0.0,0.0
