B,den,N,Band,System([band density])
1.2033898305084745,2003456010674522.0,2,0,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.1016949152542372,2022224586875278.0,7,1,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.4067796610169492,2018462212378793.0,1,2,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.305084745762712,2013335503454767.0,2,2,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.5084745762711864,2010611551260340.0,2,3,6.264000e+14 1.950000e+15 2.840000e+14 2.840000e+14
1.8135593220338984,1955355712090649.0,1,2,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.1016949152542372,1976631262210870.5,4,3,6.230000e+14 1.950000e+15 3.050000e+14 3.050000e+14
1.7118644067796611,1917398024096800.0,1,2,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.0,1911534150635527.0,4,2,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.6101694915254239,1932391104679374.0,2,3,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.305084745762712,1921253361140914.0,3,3,6.196000e+14 1.950000e+15 3.260000e+14 3.260000e+14
1.2033898305084745,1856842452455350.0,3,2,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
2.6271186440677967,1872253976782494.0,1,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
1.0,1871939779241217.5,5,3,6.162000e+14 1.950000e+15 3.470000e+14 3.470000e+14
2.016949152542373,1836466299730014.0,1,2,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
1.1016949152542372,1824915257264885.0,4,2,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
1.7118644067796611,1811064077805961.0,2,3,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
1.8135593220338984,1833616281670971.0,2,3,6.128000e+14 1.950000e+15 3.680000e+14 3.680000e+14
2.7288135593220337,1789465217317172.0,0,2,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
1.2033898305084745,1784840106836202.5,4,3,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
1.1016949152542372,1774061540603368.5,5,3,6.094000e+14 1.950000e+15 3.890000e+14 3.890000e+14
2.3220338983050848,1721936106175484.0,1,0,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
1.5084745762711864,1752179462622425.0,2,2,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
1.0,1751805213699994.0,5,2,6.060000e+14 1.950000e+15 4.100000e+14 4.100000e+14
2.1186440677966103,1678077871709600.0,1,2,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
1.4067796610169492,1707602004166050.0,2,2,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
2.016949152542373,1688165412188097.0,2,3,6.026000e+14 1.950000e+15 4.310000e+14 4.310000e+14
3.440677966101695,1628744032245954.0,0,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
3.5423728813559325,1644310004765338.0,0,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
3.6440677966101696,1662735952977820.0,0,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
3.745762711864407,1661957760203846.0,0,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
2.2203389830508478,1655627181783568.0,1,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
1.6101694915254239,1644839154199316.0,2,2,5.992000e+14 1.950000e+15 4.520000e+14 4.520000e+14
