B,den,N,Band
0.0,,0.0,0.0
0.16161616161616163,-361875054652640.2,0.0,0.0
0.32323232323232326,-990918918278982.0,0.0,0.0
0.48484848484848486,-1729119549805839.0,0.0,0.0
0.6464646464646465,-2469134017864426.5,0.0,0.0
0.8080808080808082,-3210310530640157.5,0.0,0.0
0.9696969696969697,-3951376804296105.0,0.0,0.0
1.1313131313131315,-4769853562760421.0,0.0,0.0
1.292929292929293,-5454380246545039.0,0.0,0.0
1.4545454545454546,-6138705004732815.0,0.0,0.0
1.6161616161616164,-6831735869918702.0,0.0,0.0
1.777777777777778,-7560346996419356.0,0.0,0.0
1.9393939393939394,-8402639688532714.0,0.0,0.0
2.101010101010101,-9304168905753654.0,0.0,0.0
2.262626262626263,-1.0096384854801468e+16,0.0,0.0
2.4242424242424243,-1.0829556123126474e+16,0.0,0.0
2.585858585858586,-1.1553625654020064e+16,0.0,0.0
2.747474747474748,-1.2277057029801388e+16,0.0,0.0
2.909090909090909,-1.3000464612122978e+16,0.0,0.0
3.070707070707071,-1.3723869964106168e+16,0.0,0.0
3.2323232323232327,-1.4444356792257094e+16,0.0,0.0
3.393939393939394,-1.5035467174288304e+16,0.0,0.0
3.555555555555556,-1.5230324249663514e+16,0.0,0.0
3.7171717171717176,-1.5297534445787078e+16,0.0,0.0
3.878787878787879,-1.5208415926188296e+16,0.0,0.0
4.040404040404041,-1.5220107890429856e+16,0.0,0.0
4.202020202020202,-1.518333365665419e+16,0.0,0.0
4.363636363636364,-1.5028836197992622e+16,0.0,0.0
4.525252525252526,-1.4989307015429098e+16,0.0,0.0
4.686868686868687,-1.5016072396621268e+16,0.0,0.0
4.848484848484849,-1.4899693287759808e+16,0.0,0.0
5.01010101010101,-1.4740891019756818e+16,0.0,0.0
5.171717171717172,-1.4688439252494884e+16,0.0,0.0
5.333333333333334,-1.4741412631668176e+16,0.0,0.0
5.494949494949496,-1.470840491882287e+16,0.0,0.0
5.6565656565656575,-1.4566841761750192e+16,0.0,0.0
5.818181818181818,-1.4407621069846512e+16,0.0,0.0
5.97979797979798,-1.4297407254826714e+16,0.0,0.0
6.141414141414142,-1.4299288345014076e+16,0.0,0.0
6.303030303030304,-1.4360789797126186e+16,0.0,0.0
6.464646464646465,-1.4354721489071002e+16,0.0,0.0
6.626262626262627,-1.4248852525587434e+16,0.0,0.0
6.787878787878788,-1.4102835463131186e+16,0.0,0.0
6.94949494949495,-1.3954491279968396e+16,0.0,0.0
7.111111111111112,-1.3812211344328132e+16,0.0,0.0
7.272727272727273,-1.3712811164793104e+16,0.0,0.0
7.434343434343435,-1.3699769878059984e+16,0.0,0.0
7.595959595959597,-1.3760190709784756e+16,0.0,0.0
7.757575757575758,-1.3822921598072282e+16,0.0,0.0
7.91919191919192,-1.3820799324960308e+16,0.0,0.0
8.080808080808081,-1.3738398136402226e+16,0.0,0.0
8.242424242424244,-1.3608765025086144e+16,0.0,0.0
8.404040404040405,-1.3473573225004356e+16,0.0,0.0
8.565656565656566,-1.3347920879745554e+16,0.0,0.0
8.727272727272728,-1.3220698419589638e+16,0.0,0.0
8.88888888888889,-1.3081644481888764e+16,0.0,0.0
9.050505050505052,-1.2942346927217642e+16,0.0,0.0
9.212121212121213,-1.2832160641752154e+16,0.0,0.0
9.373737373737374,-1.2777675666727426e+16,0.0,0.0
9.535353535353536,-1.2785573398933416e+16,0.0,0.0
9.696969696969697,-1.2839624224666896e+16,0.0,0.0
9.85858585858586,-1.290916822036486e+16,0.0,0.0
10.02020202020202,-1.2961167618330238e+16,0.0,0.0
10.181818181818183,-1.2970295686242054e+16,0.0,0.0
10.343434343434344,-1.2925099065544488e+16,0.0,0.0
10.505050505050505,-1.282968784159248e+16,0.0,0.0
10.666666666666668,-1.2700738760254282e+16,0.0,0.0
10.828282828282829,-1.2560627034572466e+16,0.0,0.0
10.989898989898991,-1.2429133649183082e+16,0.0,0.0
11.151515151515152,-1.2316999281882858e+16,0.0,0.0
11.313131313131315,-1.2223730746996896e+16,0.0,0.0
11.474747474747476,-1.2140005010451976e+16,0.0,0.0
11.636363636363637,-1.2053035057811012e+16,0.0,0.0
11.7979797979798,-1.1952357061155068e+16,0.0,0.0
11.95959595959596,-1.18338460703571e+16,0.0,0.0
12.121212121212123,-1.1700892969221674e+16,0.0,0.0
12.282828282828284,-1.1562917065603902e+16,0.0,0.0
12.444444444444445,-1.1432252034433504e+16,0.0,0.0
12.606060606060607,-1.132072567908856e+16,0.0,0.0
12.767676767676768,-1.1237015497383518e+16,0.0,0.0
12.92929292929293,-1.1185326024555526e+16,0.0,0.0
13.090909090909092,-1.1165369517129152e+16,0.0,0.0
13.252525252525254,-1.117324524625897e+16,0.0,0.0
13.414141414141415,-1.1202686317678336e+16,0.0,0.0
13.575757575757576,-1.1246236496770266e+16,0.0,0.0
13.737373737373739,-1.1296124034490214e+16,0.0,0.0
13.8989898989899,-1.1344802611562364e+16,0.0,0.0
14.060606060606062,-1.1385259958870252e+16,0.0,0.0
14.222222222222223,-1.1411233573322932e+16,0.0,0.0
14.383838383838386,-1.141744021786896e+16,0.0,0.0
14.545454545454547,-1.13998582560091e+16,0.0,0.0
14.707070707070708,-1.1356034324849942e+16,0.0,0.0
14.86868686868687,-1.1285341860471424e+16,0.0,0.0
15.030303030303031,-1.1189108101435186e+16,0.0,0.0
15.191919191919194,-1.107054607432279e+16,0.0,0.0
15.353535353535355,-1.0934468412884282e+16,0.0,0.0
15.515151515151516,-1.0786806818189836e+16,0.0,0.0
15.676767676767678,-1.0634001213545214e+16,0.0,0.0
15.83838383838384,-1.0482346634154562e+16,0.0,0.0
16.0,-1.033738963220746e+16,0.0,0.0
0.0,,1.0,0.0
0.16161616161616163,-324569820201303.25,1.0,0.0
0.32323232323232326,-427304435619266.44,1.0,0.0
0.48484848484848486,1162990093967149.0,1.0,0.0
0.6464646464646465,1484984698802182.5,1.0,0.0
0.8080808080808082,1663700240966763.0,1.0,0.0
0.9696969696969697,1835894891515841.5,1.0,0.0
1.1313131313131315,2025298872962350.8,1.0,0.0
1.292929292929293,2125646242192707.5,1.0,0.0
1.4545454545454546,2286457881008639.0,1.0,0.0
1.6161616161616164,2543368136829074.0,1.0,0.0
1.777777777777778,2692749609796902.5,1.0,0.0
1.9393939393939394,2830036600166762.0,1.0,0.0
2.101010101010101,2896503914597212.5,1.0,0.0
2.262626262626263,3012315841739979.0,1.0,0.0
2.4242424242424243,3230926535132935.5,1.0,0.0
2.585858585858586,3426580712110992.5,1.0,0.0
2.747474747474748,3655992731010960.5,1.0,0.0
2.909090909090909,3853131863263491.0,1.0,0.0
3.070707070707071,4023653360592683.0,1.0,0.0
3.2323232323232327,4213995963452989.5,1.0,0.0
3.393939393939394,4245628834278029.0,1.0,0.0
3.555555555555556,4368653964206403.0,1.0,0.0
3.7171717171717176,4361088666082751.0,1.0,0.0
3.878787878787879,4474173294772075.0,1.0,0.0
4.040404040404041,4504971868132959.0,1.0,0.0
4.202020202020202,4662393461633074.0,1.0,0.0
4.363636363636364,4777851126709964.0,1.0,0.0
4.525252525252526,4932269193773168.0,1.0,0.0
4.686868686868687,5118605759176034.0,1.0,0.0
4.848484848484849,5266199784587537.0,1.0,0.0
5.01010101010101,5444891366291960.0,1.0,0.0
5.171717171717172,5640454468178730.0,1.0,0.0
5.333333333333334,5784849521171229.0,1.0,0.0
5.494949494949496,5976466838031622.0,1.0,0.0
5.6565656565656575,6165388185029467.0,1.0,0.0
5.818181818181818,6311297049552482.0,1.0,0.0
5.97979797979798,6505562877154467.0,1.0,0.0
6.141414141414142,6691716687343302.0,1.0,0.0
6.303030303030304,6838980219748172.0,1.0,0.0
6.464646464646465,7031156312585495.0,1.0,0.0
6.626262626262627,7219316758976668.0,1.0,0.0
6.787878787878788,7367356072763725.0,1.0,0.0
6.94949494949495,7552872742572018.0,1.0,0.0
7.111111111111112,7744095107538814.0,1.0,0.0
7.272727272727273,7897764281700948.0,1.0,0.0
7.434343434343435,8068808993115324.0,1.0,0.0
7.595959595959597,8257637539616259.0,1.0,0.0
7.757575757575758,8428438234978444.0,1.0,0.0
7.91919191919192,8575830573212994.0,1.0,0.0
8.080808080808081,8748717694887045.0,1.0,0.0
8.242424242424244,8924500476969316.0,1.0,0.0
8.404040404040405,9071400845408502.0,1.0,0.0
8.565656565656566,9208101870426268.0,1.0,0.0
8.727272727272728,9367234192431068.0,1.0,0.0
8.88888888888889,9539135058226552.0,1.0,0.0
9.050505050505052,9634238185985210.0,1.0,0.0
9.212121212121213,9751472043562824.0,1.0,0.0
9.373737373737374,9900877757304588.0,1.0,0.0
9.535353535353536,1.0035820741243766e+16,1.0,0.0
9.696969696969697,1.0087420533826518e+16,1.0,0.0
9.85858585858586,1.0193517073767644e+16,1.0,0.0
10.02020202020202,1.032475164161731e+16,1.0,0.0
10.181818181818183,1.0397593755255212e+16,1.0,0.0
10.343434343434344,1.0440899307458178e+16,1.0,0.0
10.505050505050505,1.0540394770200242e+16,1.0,0.0
10.666666666666668,1.0641551485093774e+16,1.0,0.0
10.828282828282829,1.0675030616775414e+16,1.0,0.0
10.989898989898991,1.0726048323259734e+16,1.0,0.0
11.151515151515152,1.0820411791119892e+16,1.0,0.0
11.313131313131315,1.089622602254979e+16,1.0,0.0
11.474747474747476,1.09151835892944e+16,1.0,0.0
11.636363636363637,1.098218768344714e+16,1.0,0.0
11.7979797979798,1.107710664022046e+16,1.0,0.0
11.95959595959596,1.1145414542329778e+16,1.0,0.0
12.121212121212123,1.1159461605944752e+16,1.0,0.0
12.282828282828284,1.124592035903403e+16,1.0,0.0
12.444444444444445,1.134935053675036e+16,1.0,0.0
12.606060606060607,1.1427565010850614e+16,1.0,0.0
12.767676767676768,1.1457416461072368e+16,1.0,0.0
