B,dos_at_mu,Band
1.0,-1.800608665420842e-104,0.0
1.0606060606060606,-1.203582326578979e-94,0.0
1.121212121212121,-2.404171358603901e-100,0.0
1.1818181818181819,-1.4760533408778038e-118,0.0
1.2424242424242424,-1.6794815509181173e-113,0.0
1.303030303030303,-1.6126261708042143e-105,0.0
1.3636363636363638,-7.082106938000645e-106,0.0
1.4242424242424243,-2.4116355737574214e-125,0.0
1.4848484848484849,-7.298537243270076e-142,0.0
1.5454545454545454,-1.6474930502069783e-141,0.0
1.606060606060606,-2.4982489497604157e-136,0.0
1.6666666666666667,-5.576605606478641e-131,0.0
1.7272727272727273,-5.403949625404695e-126,0.0
1.7878787878787878,-6.9345688169483606e-124,0.0
1.8484848484848486,-3.92075452020909e-130,0.0
1.9090909090909092,-4.401217911766421e-144,0.0
1.9696969696969697,-2.9695755947411392e-155,0.0
2.0303030303030303,-3.1061404554903504e-157,0.0
2.090909090909091,-3.476819186507374e-153,0.0
2.1515151515151514,-3.7638429515041457e-147,0.0
2.212121212121212,-9.253527112287776e-141,0.0
2.2727272727272725,-1.4520532721713775e-134,0.0
2.3333333333333335,-1.0611577636794336e-128,0.0
2.393939393939394,-4.895129341061097e-123,0.0
2.4545454545454546,-1.668977369111019e-117,0.0
2.515151515151515,-1.8069470071014008e-112,0.0
2.5757575757575757,-6.527297758936894e-109,0.0
2.6363636363636367,-2.582587693705739e-108,0.0
2.6969696969696972,-3.719977433401987e-112,0.0
2.757575757575758,-4.487126796905456e-121,0.0
2.8181818181818183,-3.910713682380614e-134,0.0
2.878787878787879,-9.361479245370666e-149,0.0
2.9393939393939394,-1.0587127354007473e-161,0.0
3.0,-1.1332236553241847e-170,0.0
3.0606060606060606,-3.4402719467422675e-175,0.0
3.121212121212121,-3.5784217015253646e-176,0.0
3.1818181818181817,-6.36310573829984e-175,0.0
3.2424242424242427,-1.8701614008763903e-172,0.0
3.303030303030303,-2.3408478974455306e-169,0.0
3.3636363636363638,-6.341572862794671e-166,0.0
3.4242424242424243,-2.61405302484252e-162,0.0
3.484848484848485,-1.2969526588293008e-158,0.0
3.5454545454545454,-6.379977540112554e-155,0.0
3.606060606060606,-2.6291080275285838e-151,0.0
3.666666666666667,-7.922573453752997e-148,0.0
3.7272727272727275,-1.6008094377955537e-144,0.0
3.787878787878788,-2.1273353623827338e-141,0.0
3.8484848484848486,-1.9655733426484752e-138,0.0
3.909090909090909,-1.419744312181615e-135,0.0
3.9696969696969697,-9.27731715150941e-133,0.0
4.03030303030303,-6.276712601959896e-130,0.0
4.090909090909091,-4.822397821192622e-127,0.0
4.151515151515151,-4.3632996917688105e-124,0.0
4.212121212121213,-4.580752719209703e-121,0.0
4.272727272727273,-5.307244759899072e-118,0.0
4.333333333333334,-6.343075582935082e-115,0.0
4.3939393939393945,-7.274613082603289e-112,0.0
4.454545454545455,-7.4448423249887955e-109,0.0
4.515151515151516,-6.30954857910353e-106,0.0
4.575757575757576,-4.0835012111360145e-103,0.0
4.636363636363637,-1.8429203958729916e-100,0.0
