B,E,N,Band
1.0,-5.911713180796625e-21,0.0,0.0
1.0606060606060606,-5.91113002699795e-21,0.0,0.0
1.121212121212121,-5.910546873199276e-21,0.0,0.0
1.1818181818181819,-5.909963719400601e-21,0.0,0.0
1.2424242424242424,-5.909380565601927e-21,0.0,0.0
1.303030303030303,-5.908797411803253e-21,0.0,0.0
1.3636363636363638,-5.908214258004578e-21,0.0,0.0
1.4242424242424243,-5.907631104205904e-21,0.0,0.0
1.4848484848484849,-5.907047950407229e-21,0.0,0.0
1.5454545454545454,-5.906464796608555e-21,0.0,0.0
1.606060606060606,-5.90588164280988e-21,0.0,0.0
1.6666666666666667,-5.905298489011206e-21,0.0,0.0
1.7272727272727273,-5.904715335212531e-21,0.0,0.0
1.7878787878787878,-5.904132181413857e-21,0.0,0.0
1.8484848484848486,-5.9035490276151825e-21,0.0,0.0
1.9090909090909092,-5.9029658738165076e-21,0.0,0.0
1.9696969696969697,-5.9023827200178334e-21,0.0,0.0
2.0303030303030303,-5.9017995662191585e-21,0.0,0.0
2.090909090909091,-5.9012164124204844e-21,0.0,0.0
2.1515151515151514,-5.9006332586218095e-21,0.0,0.0
2.212121212121212,-5.900050104823135e-21,0.0,0.0
2.2727272727272725,-5.899466951024461e-21,0.0,0.0
2.3333333333333335,-5.898883797225786e-21,0.0,0.0
2.393939393939394,-5.898300643427112e-21,0.0,0.0
2.4545454545454546,-5.897717489628437e-21,0.0,0.0
2.515151515151515,-5.897134335829763e-21,0.0,0.0
2.5757575757575757,-5.896551182031088e-21,0.0,0.0
2.6363636363636367,-5.895968028232414e-21,0.0,0.0
2.6969696969696972,-5.895384874433739e-21,0.0,0.0
2.757575757575758,-5.894801720635065e-21,0.0,0.0
2.8181818181818183,-5.894218566836391e-21,0.0,0.0
2.878787878787879,-5.893635413037716e-21,0.0,0.0
2.9393939393939394,-5.893052259239042e-21,0.0,0.0
3.0,-5.892469105440367e-21,0.0,0.0
3.0606060606060606,-5.891885951641693e-21,0.0,0.0
3.121212121212121,-5.891302797843018e-21,0.0,0.0
3.1818181818181817,-5.890719644044344e-21,0.0,0.0
3.2424242424242427,-5.890136490245669e-21,0.0,0.0
3.303030303030303,-5.889553336446995e-21,0.0,0.0
